"tag","precision","recall","f1"
"ADJ",0.801156069364162,0.72565445026178,0.761538461538461
"ADP",0.918451400329489,0.937762825904121,0.928006658343737
"ADV",0.84971098265896,0.881294964028777,0.865214832254267
"AUX",0.952225841476656,0.954298150163221,0.953260869565217
"CCONJ",0.957516339869281,0.976666666666667,0.966996699669967
"DET",0.951364175563464,0.970944309927361,0.961054523666867
"INTJ",0.822222222222222,0.509174311926605,0.628895184135977
"NOUN",0.636170857315965,0.786811539902585,0.703517587939699
"NUM",0.289634146341463,0.9375,0.442546583850932
"PART",0.929637526652452,0.929637526652452,0.929637526652452
"PRON",0.976090854751943,0.951631701631702,0.963706107996459
"PROPN",0.408187134502924,0.638414634146341,0.497978596908442
"PUNCT",0.991732283464567,0.991341991341991,0.991537098996261
"SCONJ",0.756302521008403,0.861244019138756,0.805369127516778
"SYM",0.88030888030888,0.860377358490566,0.870229007633588
"VERB",0.888232133261687,0.832745591939547,0.859594383775351
"X",0.410714285714286,0.0111867704280156,0.021780303030303
